District,Date,Population_0-5,Population_13-18,Population_19-64,Population_6-12,Population_65+,Population_Total,Population_Female_0-5,Population_Female_13-18,Population_Female_19-64,Population_Female_6-12,Population_Female_65+,Population_Female_Total,Population_Male_0-5,Population_Male_13-18,Population_Male_19-64,Population_Male_6-12,Population_Male_65+,Population_Male_Total
Dobong,2008-01-01,18827,31533,260968,31706,32913,375947,9179,14997,131244,15205,18822,189447,9648,16536,129724,16501,14091,186500
Dobong,2008-02-01,18767,31343,261079,31531,33202,375922,9130,14911,131219,15149,18978,189387,9637,16432,129860,16382,14224,186535
Dobong,2008-03-01,18647,31382,260889,31332,33455,375705,9065,14897,131122,15068,19122,189274,9582,16485,129767,16264,14333,186431
Dobong,2008-04-01,18612,31405,261042,31244,33596,375899,9061,14949,131172,15004,19209,189395,9551,16456,129870,16240,14387,186504
Dobong,2008-05-01,18573,31373,260974,31207,33719,375846,9006,14942,131165,15012,19280,189405,9567,16431,129809,16195,14439,186441
Dobong,2008-06-01,18564,31375,260762,31031,33800,375532,8990,14957,131047,14931,19304,189229,9574,16418,129715,16100,14496,186303
Dobong,2008-07-01,18471,31375,260539,30898,33943,375226,8948,14970,130927,14855,19408,189108,9523,16405,129612,16043,14535,186118
Dobong,2008-08-01,18394,31373,260528,30668,34036,374999,8916,14944,130897,14732,19455,188944,9478,16429,129631,15936,14581,186055
Dobong,2008-09-01,18370,31375,260249,30468,34180,374642,8922,14941,130766,14643,19553,188825,9448,16434,129483,15825,14627,185817
Dobong,2008-10-01,18328,31394,260092,30308,34337,374459,8910,14955,130732,14568,19626,188791,9418,16439,129360,15740,14711,185668
Dobong,2008-11-01,18269,31415,259907,30125,34502,374218,8902,14953,130661,14474,19719,188709,9367,16462,129246,15651,14783,185509
Dobong,2008-12-01,18275,31409,259736,29842,34674,373936,8889,14905,130590,14358,19818,188560,9386,16504,129146,15484,14856,185376
Dobong,2009-01-01,18235,31295,259659,29631,34862,373682,8854,14856,130570,14270,19906,188456,9381,16439,129089,15361,14956,185226
Dobong,2009-02-01,18149,30989,259673,29417,35035,373263,8840,14736,130607,14164,19994,188341,9309,16253,129066,15253,15041,184922
Dobong,2009-03-01,18110,31088,259575,29290,35215,373278,8802,14778,130570,14098,20087,188335,9308,16310,129005,15192,15128,184943
Dobong,2009-04-01,18046,31060,259037,29096,35393,372632,8773,14766,130313,14001,20197,188050,9273,16294,128724,15095,15196,184582
Dobong,2009-05-01,17958,31041,259003,28918,35541,372461,8699,14770,130300,13920,20278,187967,9259,16271,128703,14998,15263,184494
Dobong,2009-06-01,17941,30992,258885,28767,35600,372185,8684,14751,130267,13862,20311,187875,9257,16241,128618,14905,15289,184310
Dobong,2009-07-01,17937,30944,259009,28641,35715,372246,8677,14711,130356,13807,20365,187916,9260,16233,128653,14834,15350,184330
Dobong,2009-08-01,17867,30941,258674,28413,35817,371712,8616,14721,130244,13695,20399,187675,9251,16220,128430,14718,15418,184037
Dobong,2009-09-01,17840,30906,258293,28264,35896,371199,8613,14707,130144,13617,20435,187516,9227,16199,128149,14647,15461,183683
Dobong,2009-10-01,17736,30898,258114,28112,35990,370850,8565,14673,130087,13572,20445,187342,9171,16225,128027,14540,15545,183508
Dobong,2009-11-01,17654,30875,257793,27957,36086,370365,8511,14640,129938,13507,20482,187078,9143,16235,127855,14450,15604,183287
Dobong,2009-12-01,17575,30800,257347,27827,36184,369733,8489,14568,129691,13469,20531,186748,9086,16232,127656,14358,15653,182985
Dobong,2010-01-01,17426,30726,257202,27637,36437,369428,8403,14490,129632,13399,20639,186563,9023,16236,127570,14238,15798,182865
Dobong,2010-02-01,17338,30593,257061,27383,36566,368941,8352,14412,129544,13259,20692,186259,8986,16181,127517,14124,15874,182682
Dobong,2010-03-01,17248,30528,256798,27236,36682,368492,8300,14417,129425,13173,20758,186073,8948,16111,127373,14063,15924,182419
Dobong,2010-04-01,17164,30520,256415,27092,36804,367995,8275,14412,129225,13099,20787,185798,8889,16108,127190,13993,16017,182197
Dobong,2010-05-01,17085,30460,255956,26918,36941,367360,8231,14373,128945,13039,20856,185444,8854,16087,127011,13879,16085,181916
Dobong,2010-06-01,17020,30404,255636,26760,37072,366892,8204,14339,128748,12969,20922,185182,8816,16065,126888,13791,16150,181710
Dobong,2010-07-01,16959,30328,255310,26603,37203,366403,8191,14309,128589,12870,20995,184954,8768,16019,126721,13733,16208,181449
Dobong,2010-08-01,16879,30239,254912,26327,37288,365645,8144,14290,128408,12739,21041,184622,8735,15949,126504,13588,16247,181023
Dobong,2010-09-01,16856,30160,254879,26172,37366,365433,8111,14259,128373,12658,21081,184482,8745,15901,126506,13514,16285,180951
Dobong,2010-10-01,16862,30186,257941,26097,38091,369177,8113,14272,129722,12651,21500,186258,8749,15914,128219,13446,16591,182919
Dobong,2010-11-01,16845,30065,257696,25894,38136,368636,8098,14174,129601,12610,21529,186012,8747,15891,128095,13284,16607,182624
Dobong,2010-12-01,16901,29935,257536,25741,38185,368298,8131,14129,129545,12533,21553,185891,8770,15806,127991,13208,16632,182407
Dobong,2011-01-01,16861,29736,257786,25608,38238,368229,8109,14041,129631,12449,21593,185823,8752,15695,128155,13159,16645,182406
Dobong,2011-02-01,16851,29550,257808,25343,38335,367887,8099,13961,129663,12315,21650,185688,8752,15589,128145,13028,16685,182199
Dobong,2011-03-01,16802,29495,257801,25195,38490,367783,8068,13936,129724,12243,21735,185706,8734,15559,128077,12952,16755,182077
Dobong,2011-04-01,16827,29412,257901,25060,38590,367790,8073,13874,129812,12191,21773,185723,8754,15538,128089,12869,16817,182067
Dobong,2011-05-01,16834,29330,257787,24917,38754,367622,8093,13827,129685,12126,21858,185589,8741,15503,128102,12791,16896,182033
Dobong,2011-06-01,16832,29273,257635,24810,38854,367404,8093,13807,129607,12054,21915,185476,8739,15466,128028,12756,16939,181928
Dobong,2011-07-01,16795,29153,257265,24642,39024,366879,8081,13748,129413,11960,22025,185227,8714,15405,127852,12682,16999,181652
